State Name,Total Doses Delivered
Alabama,8391130
Alaska,1343785
Arizona,12933400
Arkansas,5216470
California,77883495
Colorado,11089475
Connecticut,7632635
Delaware,2020055
District of Columbia,1633325
Florida,42126435
Georgia,18890595
Hawaii,3033250
Idaho,2979370
Illinois,23954195
Indiana,11315820
Iowa,5805975
Kansas,5287535
Kentucky,7673385
Louisiana,7198860
Maine,2966480
Maryland,13586620
Massachusetts,14986740
Michigan,18418430
Minnesota,11096570
Mississippi,4798705
Missouri,10181565
Montana,1771895
Nebraska,3492130
Nevada,5216950
New Hampshire,3000510
New Jersey,19143875
New Mexico,3906275
New York State,40386775
North Carolina,19284400
North Dakota,1219960
Ohio,20333655
Oklahoma,6449300
Oregon,8683555
Pennsylvania,26336805
Rhode Island,2343425
South Carolina,9122215
South Dakota,1627435
Tennessee,11237360
Texas,53738365
United States,632575655
Utah,5509820
Vermont,1452400
Virginia,17266955
Washington,15477225
West Virginia,3589025
Wisconsin,10273055
Wyoming,873365
