State Name,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown,,
Alabama,8391130,171136,219958,5695747,116164,5366177,140664,2890246,58.9,2698166,70.7,2349085,47.9,2215911,58.1,4448170,3559360,383600,0,164709,2495740,3034911,387,986617,1206422,155458,588,986134,1073821,155370,586,N/A,58.9,N/A,70.7,45.4,2094055,54.9,2890246,789940,93,678058,79.8,360086,281528,36057,387,1756031,206632,987381,2848212,68,2331338,55.7,986601,1188701,155448,588,5634838,134583,200415,2889888,62.7,2349024,51,986613,1206373,155450,588,5695338,123575,182066,668394,28.5,664907,30,524630,40,338889,50,324672,331903,11769,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Alaska,1343785,183691,243633,1033747,141310,940455,170508,477994,65.3,426558,77.3,413827,56.6,374343,67.9,740445,520240,83100,0,41268,402208,589413,858,150986,225638,37098,105,150586,186710,36948,99,N/A,65.3,N/A,77.3,52.2,342229,62,477994,85545,93.4,77228,84.3,42514,31176,3497,41,207425,226476,1467210,460334,75.6,403560,66.3,150981,215382,37092,105,1005766,165184,220699,477930,70.2,413813,60.8,150983,225632,37093,105,1033670,151906,197480,147814,35.7,146249,39.1,93868,53.7,50109,64.9,68061,77822,1911,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Arizona,12933400,177688,229377,10637900,146151,9744609,172823,4937380,67.8,4437677,78.7,4176104,57.4,3814476,67.7,7403880,4941220,588300,0,345833,4238801,6032027,21239,1571624,2281583,317008,5889,1570939,1921186,316558,5793,N/A,67.8,N/A,78.7,53.9,3558578,63.1,4937380,1256418,95,1096048,83.8,534263,509197,49408,3180,3111112,237738,988314,4789929,77.2,4100077,66.1,1571583,2205857,316763,5874,10408884,167721,208400,4936645,72.1,4175813,61,1571606,2281545,316773,5889,10637020,155309,188838,1321221,31.6,1310030,34.3,931328,45.3,578888,52.8,586385,716894,17375,567,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Arkansas,5216470,172856,225076,3847782,127503,3544087,152917,1906479,63.2,1732693,74.8,1554295,51.5,1426351,61.5,2828170,2140600,247700,0,117431,1655183,2071479,3689,640640,803795,108781,1079,639502,677796,108247,806,N/A,63.2,N/A,74.8,48.6,1340692,57.8,1906479,486335,92.8,411037,78.5,230681,164377,15525,454,1114631,212764,995734,1858466,72.7,1528115,59.8,640627,777988,108657,843,3773734,147570,203988,1904995,67.3,1554123,54.9,640629,803752,108664,1078,3846235,135941,184371,492691,31.7,489722,34.3,365191,45.9,233328,56.8,242973,241410,7905,403,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
California,77883495,197112,254375,66900191,169315,60647938,198082,33013122,83.6,29517364,95,26324995,66.6,23662742,77.3,46244275,28098320,3540900,0,2215192,25357844,39311058,16097,9233611,15034889,2051824,4671,9207427,12407055,2043955,4305,N/A,83.6,N/A,95,62.9,22205639,72.5,33013122,6522969,95,5081282,87,2563111,2314335,202430,1406,14525813,248810,1334050,31947825,95,25649674,76.2,9232798,14360999,2051265,4612,65154909,193647,231477,33008020,88.9,26323777,70.9,9233264,15034391,2051451,4671,66894208,180169,209767,9256911,35.2,9162845,38.7,5588735,50.4,3011672,59.3,4185837,4916823,153828,423,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Colorado,11089475,192568,246476,9619008,167033,8760668,194715,4318344,75,3857434,85.7,3830901,66.5,3449768,76.7,6490895,4120680,477900,0,325089,3771758,5514279,7882,1387516,2141557,299638,2190,1383733,1765517,298405,2113,N/A,75,N/A,85.7,63.1,3251369,72.3,4318344,824859,95,752090,89.3,358575,366057,26695,763,2133926,253311,1316400,4153145,84.1,3713635,75.2,1387462,2024384,299607,2182,9334732,189113,224662,4318004,79.6,3830838,70.6,1387502,2141532,299614,2190,9618628,177252,204356,1613351,42.1,1599693,46.4,975038,61.2,536460,71.3,748187,843798,21144,222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Connecticut,7632635,214082,268959,6765316,189755,6155420,216905,3195508,89.6,2864230,95,2675408,75,2412841,85,4376175,2924460,332000,0,238052,2584331,3941721,1212,919243,1531775,223951,439,918733,1270009,223767,332,N/A,89.6,N/A,95,70.6,2254436,79.4,3195508,718000,95,596682,94.7,234728,339624,22231,99,1716949,272426,1211060,3088605,95,2605520,83.9,918931,1462283,223870,436,6587015,212078,245743,3194192,94.4,2674967,79.1,919035,1531622,223872,438,6763582,199894,225579,1084172,40.5,1073392,44.5,738345,57.5,404490,67.8,521024,549992,13139,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Delaware,2020055,207448,262279,1600324,164344,1477455,191829,751835,77.2,687487,89.3,627808,64.5,577402,75,1145315,784940,89800,0,58601,621384,918488,1851,224208,348389,54625,586,224075,298184,54565,578,N/A,77.2,N/A,89.3,60.5,538385,69.9,751835,204477,95,175570,92.9,72407,93050,9798,315,492035,260466,1069340,732650,87.2,615806,73.3,224195,336411,54614,586,1568246,186739,240538,751688,81.8,627779,68.3,224197,348375,54621,586,1600152,174110,219799,223701,35.6,222139,38.5,169803,50.4,106225,60.5,98690,121247,3751,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
District of Columbia,1633325,231431,282787,1306181,185077,1234620,213757,630704,89.4,582533,95,479314,67.9,447928,77.6,979405,585620,68300,0,34611,477751,793313,506,167603,273728,37635,348,167530,242472,37600,326,N/A,89.4,N/A,95,64,420168,72.7,630704,95648,95,77692,89,41430,33410,2770,82,238348,272887,1870010,611101,95,468668,76.9,167595,263110,37619,344,1281662,210193,267866,630613,95,479291,72.6,167597,273714,37632,348,1306048,197772,247331,136662,28.5,135523,30.3,68358,39.6,38166,49.1,58690,76901,1054,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Florida,42126435,196140,244242,34002943,158317,31839904,184603,16094653,74.9,14908921,86.4,13659557,63.6,12747028,73.9,24403135,15443700,2279600,0,1401821,12689830,19790954,120338,4714789,7605547,1304155,35066,4712840,6696981,1302500,34707,N/A,74.9,N/A,86.4,58.8,11711532,67.9,16094653,4655172,95,4003003,89,1926786,1845328,210636,20253,11258748,250343,936697,15803786,84.5,13485930,72.1,4714027,7433556,1303324,35023,33525774,179320,225323,16086779,79.1,13657907,67.2,4714075,7605408,1303360,35064,33994133,167146,207132,4465318,32.7,4438351,34.8,3424622,46.1,2187622,54.6,1979739,2400506,81016,4057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
