COVID-19 Vaccinations in the United States
Date generated: Tue Jan 04 2022 16:22:29 GMT-0500 (東部標準時間)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna or J&J.

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,614411815,185059,237905,512665013,154413,470624344,182229,244947293,73.8,221720695,85.9,206581659,62.2,188519144,73,365727175,219210740,29473900,0,17695795,195491908,298939402,537908,73503899,116561094,16371318,145348,73418419,98619311,16340997,140417,N/A,73.8,N/A,85.9,58.5,176168624,68.2,244947293,55985193,95,48045079,87.7,22911525,22756351,2317733,59470,132301690,241462,1121350,237823961,83.9,202082219,71.3,73498594,112072231,16366805,144589,500994054,176705,216708,244905904,78.4,206571617,66.2,73500754,116557198,16368360,145305,512615704,164160,196760,71635989,34.7,71044973,37.7,48555325,49.5,28416830,59.1,31919537,38623440,1077545,15467,35184902,27814928,3670194,N/A,36026142,29701070,1000324,15319,32752794,2399391,26110,6607,2029330,25753168,26637,5793,1201849,1520034,947371,940,42169,28477,206,1979,93.1,6.8,0.1,0,7.3,92.6,0.1,0,32.7,41.4,25.8,0,57.9,39.1,0.3,2.7
Alaska,1314415,179677,238308,1030144,140818,937625,169994,477065,65.2,425910,77.2,413047,56.5,373914,67.8,735435,495880,83100,0,41159,401048,587081,856,150834,225083,37026,104,150436,186503,36877,98,N/A,65.2,N/A,77.2,52,341739,62,477065,85479,93.3,77190,84.3,42495,31161,3493,41,207068,226086,1435140,459629,75.5,403052,66.2,150829,215099,37020,104,1002678,164677,215875,477002,70.1,413033,60.7,150831,225077,37021,104,1030068,151377,193164,145832,35.3,144390,38.6,93057,53.3,49829,64.6,67250,76688,1874,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,8027420,163718,210424,5678299,115808,5351986,140292,2884819,58.8,2694570,70.6,2345599,47.8,2213379,58,4419240,3224880,383300,0,164237,2488946,3024731,385,985561,1204214,155243,581,985078,1072567,155155,579,N/A,58.8,N/A,70.6,45.3,2091113,54.8,2884819,789454,92.9,677661,79.7,359854,281381,36044,382,1752698,206239,944583,2844226,67.9,2328547,55.6,985545,1187188,155233,581,5619674,134221,191728,2884465,62.6,2345538,50.9,985557,1204165,155235,581,5677895,123196,174175,659747,28.1,656587,29.7,519392,39.7,336414,49.6,320313,327867,11520,47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,4981960,165086,214957,3829294,126890,3529430,152285,1900699,63,1729075,74.6,1551015,51.4,1424325,61.5,2818820,1915640,247500,0,117072,1648116,2060420,3686,639816,801557,108563,1079,638683,676806,108030,806,N/A,63,N/A,74.6,48.5,1338256,57.7,1900699,485816,92.7,410744,78.4,230542,164243,15505,454,1111447,212156,950970,1854408,72.5,1525860,59.7,639803,776775,108439,843,3758024,146956,194817,1899222,67.1,1550843,54.8,639805,801514,108446,1078,3827754,135288,176082,483097,31.1,480516,33.7,359809,45.3,230939,56.2,238243,236687,7764,403,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,83310,175789,265869,78317,165254,59538,190005,40726,85.9,29920,95,34503,72.8,26641,85,62010,20700,600,0,550,19882,57882,3,8805,25138,559,1,8787,17295,558,1,N/A,85.9,N/A,95,71.7,26113,83.3,40726,2975,90.8,2717,82.9,1140,1552,25,0,6372,194387,2541490,36267,95,32274,87.4,8804,22910,559,1,71567,193859,225668,40722,94.5,34503,80,8805,25138,559,1,78313,181659,193250,3634,10.5,3618,13.6,2029,20.8,779,28.7,1149,2485,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,12582250,172864,223150,10587892,145464,9703772,172099,4924223,67.7,4428598,78.5,4166767,57.2,3809094,67.6,7360270,4634480,587500,0,344898,4219474,6002489,21031,1569429,2274958,316537,5843,1568749,1918508,316088,5749,N/A,67.7,N/A,78.5,53.7,3552006,63,4924223,1254872,95,1095215,83.7,533814,508881,49362,3158,3101612,237012,961480,4779831,77,4093842,66,1569388,2202334,316292,5828,10365213,167018,202741,4923492,71.9,4166476,60.8,1569411,2274920,316302,5843,10587016,154579,183711,1296141,31.1,1285814,33.8,918071,44.7,572971,52.3,574238,704382,16982,539,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,299110,N/A,N/A,280239,N/A,280237,N/A,135910,N/A,135908,N/A,128610,N/A,128609,N/A,155610,127400,16100,0,14094,121128,144985,32,49988,65202,13420,0,49988,65202,13419,0,N/A,N/A,N/A,N/A,0,116998,0,135910,3769,0,3595,0,1720,1680,195,0,8905,0,0,135908,0,128609,0,49988,65202,13419,0,280237,0,0,135908,0,128609,0,49988,65202,13419,0,280237,0,0,28471,22.1,28471,22.1,9920,34.8,1718,47.8,16433,11378,638,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,76094855,192586,248533,66483057,168259,60296950,196936,32905240,83.3,29440146,95,26246056,66.4,23609862,77.1,45943695,26615060,3536100,0,2208806,25195404,39062811,16036,9211311,14981604,2048485,4656,9185185,12379760,2040625,4292,N/A,83.3,N/A,95,62.7,22141385,72.3,32905240,6511537,95,5071450,86.9,2557621,2310286,202140,1403,14465346,247774,1303420,31863436,94.7,25590067,76.1,9210499,14327040,2047929,4599,64780646,192534,226161,32900269,88.6,26244842,70.7,9210964,14981110,2048112,4656,66477209,179046,204950,9025459,34.4,8940758,37.9,5488558,49.6,2972549,58.6,4080160,4794071,150809,419,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,10837215,188187,240869,9592439,166572,8738345,194219,4311864,74.9,3852751,85.6,3826748,66.5,3447279,76.6,6446035,3913280,477900,0,324513,3761615,5498464,7847,1386595,2138698,299280,2175,1382817,1764315,298049,2098,N/A,74.9,N/A,85.6,63,3248167,72.2,4311864,824412,95,751810,89.2,358445,365942,26661,762,2130939,252957,1286450,4148022,84,3710832,75.2,1386545,2022870,299250,2167,9310875,188630,219552,4311535,79.5,3826686,70.5,1386581,2138673,299257,2175,9592070,176762,199708,1597152,41.7,1584287,46,968709,60.8,534214,71.1,740900,835098,20937,217,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,7417465,208047,261376,6728550,188724,6124894,215829,3185162,89.3,2856398,95,2670543,74.9,2410776,85,4335505,2750360,331600,0,237536,2568560,3921247,1207,918471,1527945,223688,439,917965,1268975,223504,332,N/A,89.3,N/A,95,70.4,2251134,79.3,3185162,717099,95,596508,94.6,234667,339526,22216,99,1712614,271738,1176920,3080106,95,2603127,83.8,918163,1460921,223607,436,6554546,211032,238815,3183851,94.1,2670102,78.9,918263,1527792,223609,438,6726821,198808,219220,1062370,39.8,1052554,43.7,728733,56.8,401227,67.3,510112,539343,12898,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
